OBJECTID,rotacja,sym,sym_w,X,Y
536,185,4,18,564490.025200000032783,245147.516600000002654
537,310,1,30,564472.331099999952130,245151.001199999998789
538,7,4,18,565375.690199999953620,244688.863500000006752
539,349,3,20,564916.152499999967404,244968.020799999998417
540,98,3,22,564910.340300000039861,244967.073200000013458
541,321,4,29,564931.445799999986775,244964.938300000008894
542,241,4,27,564948.437900000018999,244935.478999999992084
543,1,1,30,564942.786700000055134,244931.280100000003586
544,288,1,30,564931.955599999986589,244922.694799999997485
545,172,4,28,564925.916599999996834,244920.965700000000652
546,181,4,21,564923.206099999952130,244917.997700000007171
547,288,1,16,564924.438199999975041,244918.991100000013830
548,64,1,24,564895.960899999947287,244928.618599999987055
549,29,1,16,564898.575399999972433,244930.603600000002189
550,21,2,25,564902.208699999959208,244933.194199999998091
551,259,4,26,564897.633799999952316,244945.612599999993108
552,203,1,24,566031.395099999965169,244488.651199999992969
553,242,4,17,565716.175900000031106,244561.289799999998650
554,109,1,23,565121.891500000027008,244730.968200000002980
555,83,2,19,565108.366900000022724,244733.992700000002515
556,189,3,15,564519.684699999983422,244895.595600000000559
557,126,3,17,564515.667800000053830,244898.429700000007870
558,217,2,18,564517.066600000020117,244904.423100000014529
559,57,1,26,564524.760600000037812,244904.541100000002189
560,69,1,28,564517.132199999992736,244917.267499999987194
561,93,1,21,564531.496299999998882,244919.768099999986589
562,272,2,19,564531.203499999945052,244929.313300000008894
563,308,1,27,564536.431699999957345,244932.580199999996694
564,11,2,23,564521.570199999958277,244934.042300000000978
565,115,1,28,564531.077900000032969,244936.375800000008894
566,160,2,20,564530.771799999987707,244952.209899999987101
567,149,2,23,564537.564600000041537,244956.784199999994598
568,12,1,15,564541.288599999970756,244972.709600000001956
569,140,1,17,564544.857599999988452,244986.921899999986636
570,132,4,18,564545.615699999965727,244991.870599999994738
571,332,3,22,564546.878499999991618,244993.047400000010384
572,48,2,23,564566.869999999995343,244987.544300000008661
573,143,1,29,564564.353600000031292,244981.785999999992782
574,150,1,30,564550.722799999988638,244952.062399999995250
575,309,1,21,564548.780700000002980,244949.076999999990221
576,253,4,21,564546.261000000056811,244931.630299999989802
577,6,2,23,565078.868699999991804,245015.004799999995157
578,62,3,18,565077.163100000005215,245003.161599999992177
579,242,1,18,565075.979099999996834,245001.559399999998277
580,318,3,24,565071.193399999989197,245003.019599999999627
581,150,4,18,565070.249700000043958,245002.755700000008801
582,14,2,22,565051.248799999943003,244999.061199999996461
583,222,3,16,565034.484500000020489,244990.119000000006054
584,219,1,15,565044.508999999961816,245013.760500000003958
585,249,1,16,565043.085500000044703,245013.334000000002561
586,124,4,19,565037.267800000030547,245014.354099999996834
587,326,2,27,565033.452399999951012,245015.979800000000978
588,42,1,21,564641.628499999991618,244908.612699999997858
589,183,2,15,564994.534199999994598,245084.146700000012061
590,258,3,30,564808.540900000021793,245096.388299999991432
591,88,4,18,565936.039499999955297,244756.660800000012387
592,272,4,22,565943.356400000047870,244763.413800000009360
593,194,4,19,566008.317500000004657,244742.463099999993574
594,9,1,25,565649.933199999970384,244713.288200000009965
595,289,4,16,565653.749700000043958,244711.942999999999302
596,320,3,26,565657.203800000017509,244710.773599999985890
597,86,4,28,565661.304000000003725,244709.527600000001257
598,85,2,29,565664.804699999978766,244708.261300000012852
599,248,3,24,565668.637699999962933,244706.967200000013690
600,277,3,21,565676.314800000051036,244703.919099999999162
601,194,1,18,565680.248000000021420,244702.922300000005635
602,163,4,16,565678.583199999993667,244697.161300000007031
603,358,4,26,565687.629700000048615,244700.244899999990594
604,37,4,28,565673.836099999956787,244687.646999999997206
605,0,4,24,565663.752300000051036,244691.334100000007311
606,177,1,20,565648.611599999945611,244698.125700000004144
607,168,3,24,566107.071200000005774,244641.572299999999814
608,72,3,27,566111.241400000057183,244651.027600000001257
609,7,4,25,566160.882899999967776,244705.643500000005588
610,105,1,18,564575.644800000009127,244711.154700000013690
611,316,1,24,564574.635600000037812,244713.199900000006892
612,164,4,15,564575.312999999965541,244718.603899999987334
613,226,1,23,564575.131500000017695,244723.970100000005914
614,163,1,23,564575.291199999977835,244735.568900000012945
615,45,1,21,564575.868099999963306,244745.583299999998417
616,17,1,27,564570.783300000010058,244746.131900000007590
617,154,4,15,564556.688300000037998,244738.301199999987148
618,88,3,24,564586.305300000007264,244752.256099999998696
619,69,3,18,564580.409499999950640,244762.755700000008801
620,210,4,27,564583.000099999946542,244787.768899999995483
621,106,2,26,564539.989900000044145,244760.922499999986030
622,140,1,27,565135.589000000036322,244762.228700000006938
623,335,3,30,565136.218200000002980,244765.375999999989290
624,204,3,23,565136.819999999948777,244767.740200000000186
625,116,3,17,565120.419200000003912,244774.356700000003912
626,326,1,25,565121.066400000010617,244777.384900000004563
627,301,4,26,565121.823399999993853,244780.270400000008522
628,173,1,20,565122.963800000026822,244784.153200000000652
629,231,4,23,565139.449099999968894,244781.037799999990966
630,130,1,16,565134.246299999998882,244751.391499999997905
631,289,2,19,565140.460500000044703,244749.837300000013784
632,102,4,23,565637.583400000003166,244817.309000000008382
633,231,2,23,565639.860199999995530,244825.134400000009919
634,306,3,28,565647.749399999971502,244835.581600000004983
635,339,3,20,565654.117100000032224,244836.952300000004470
636,58,2,24,565638.783799999975599,244852.544599999993807
637,56,2,20,565643.451699999975972,244868.583699999988312
638,338,2,26,565639.642600000021048,244868.036499999987427
639,193,2,20,565409.055199999944307,244783.616500000003725
640,111,4,17,564434.776700000045821,244882.310599999997066
641,75,4,27,565801.358499999972992,244831.272900000010850
642,1,2,21,565808.592399999964982,244827.964600000006612
643,67,1,21,565811.691100000054576,244826.420699999987846
644,211,1,18,565815.612199999974109,244812.973700000002282
645,294,1,28,565813.460599999991246,244808.341600000014296
646,61,2,28,565830.310500000021420,244819.282700000010664
647,78,1,24,565866.788199999951757,244822.983399999997346
648,309,3,19,565810.537800000049174,244844.571300000010524
649,177,1,21,566083.001500000013039,244618.426299999991897
650,83,1,30,566080.135000000009313,244618.753900000010617
651,136,2,17,566081.416399999987334,244620.843400000012480
652,291,3,30,566073.514899999951012,244618.007199999992736
653,344,1,16,566092.335899999947287,244616.942199999990407
654,296,2,23,566090.903700000024401,244622.885100000014063
655,341,3,21,566087.767899999977089,244632.408900000009453
656,19,1,16,566098.010200000018813,244621.170699999987846
657,220,3,24,566106.164800000027753,244623.222700000012992
658,68,2,26,566104.049600000027567,244631.423100000014529
659,92,1,16,566101.558100000023842,244643.273900000000140
660,142,1,21,566103.898399999947287,244664.274100000009639
661,147,1,20,566099.257100000046194,244660.175300000002608
662,305,4,25,566107.789299999945797,244658.557000000000698
663,271,4,20,566109.217100000008941,244663.080099999991944
664,345,2,29,566114.411199999973178,244660.315399999992223
665,211,3,22,566096.638599999947473,244588.026799999992363
666,156,4,23,566098.072200000053272,244587.412299999996321
667,209,4,19,566096.773200000054203,244582.166700000001583
668,36,2,21,566095.141300000017509,244579.482699999993201
669,322,1,26,566096.104099999996834,244578.275599999993574
670,40,1,27,566094.976000000024214,244578.369899999990594
671,296,1,28,564500.436499999952503,245105.226400000014110
672,310,1,27,564895.475300000049174,244810.073399999993853
673,311,2,24,564868.931699999957345,244824.669699999998556
674,277,4,27,564885.351600000052713,244882.404700000013690
675,156,2,22,564873.889500000048429,244881.131300000008196
676,275,3,28,564877.569600000046194,244890.723900000011781
677,233,3,17,564876.490699999965727,244894.396999999997206
678,137,4,19,564881.135600000037812,244891.014300000009825
679,331,4,30,564884.034199999994598,244890.508600000001024
680,295,3,15,564894.420299999997951,244915.917099999991478
681,20,1,25,564925.294299999950454,244905.428699999989476
682,303,4,27,564922.093400000012480,244922.008999999990920
683,293,2,28,564581.833499999949709,245055.296800000010990
684,175,3,18,564584.847500000032596,245053.226400000014110
685,104,1,17,564589.998699999996461,245056.448100000008708
686,191,2,25,564594.327300000004470,245055.678199999994831
687,30,2,25,564600.063300000037998,245054.532500000001164
688,164,1,26,564602.437000000034459,245051.858100000012200
689,348,4,19,564605.262199999997392,245047.982199999998556
690,0,4,17,564607.813500000047497,245044.308199999999488
691,154,2,20,564610.574799999943934,245040.638299999991432
692,13,4,17,564613.267699999967590,245036.793499999999767
693,355,1,27,564615.827399999951012,245033.290399999998044
694,11,1,21,564617.496900000027381,245029.176299999991897
695,215,1,15,564622.265200000023469,245024.259599999990314
696,353,1,18,564625.689600000041537,245019.222199999989243
697,298,3,22,564625.287499999976717,245026.376300000003539
698,146,4,29,564623.149800000013784,245028.966400000004796
699,284,4,15,564628.320700000040233,245032.640199999994365
700,188,2,17,564618.722799999988638,245035.358399999997346
701,287,2,16,564615.939400000032037,245039.207099999999627
702,247,3,29,564620.901599999982864,245039.141000000003260
703,55,2,16,564631.857799999997951,245044.206199999985984
704,178,3,18,564618.387699999962933,245045.381499999988591
705,297,1,27,564610.683500000042841,245046.454700000002049
706,129,2,30,564613.290599999949336,245042.694300000002841
707,185,2,17,564608.204700000002049,245050.093499999988126
708,107,1,27,564609.621999999973923,245052.692899999994552
709,124,2,23,564605.024100000038743,245053.594899999996414
710,209,1,21,564633.952099999994971,245036.314899999997579
711,113,2,25,564584.827599999960512,245045.943800000008196
712,190,3,16,564578.823300000047311,245068.454700000002049
713,307,1,18,564583.131999999983236,245067.533200000005309
714,332,2,18,564586.794400000013411,245064.164500000013504
715,327,2,15,564576.790200000046752,245072.614299999986542
716,46,4,17,564580.085899999947287,245076.171700000006240
717,242,4,29,564594.728699999977835,245063.837999999988824
718,122,2,22,564600.189800000051036,245065.137500000011642
719,73,1,20,564625.032899999991059,245059.871299999998882
720,294,2,17,564627.428900000057183,245069.347299999993993
721,184,4,15,564619.435900000040419,245072.624400000000605
722,276,2,17,564618.233800000045449,245065.792900000000373
723,280,3,15,564613.552799999946728,245066.739299999986542
724,222,4,19,564610.380800000042655,245062.980000000010477
725,136,4,22,564609.437000000034459,245067.473499999992782
726,207,1,29,564624.908000000054017,245084.160700000007637
727,165,1,30,564619.617399999988265,245102.322899999999208
728,127,3,25,564626.791899999952875,245093.061300000001211
729,136,4,16,564641.459900000016205,245095.361999999993714
730,95,3,23,564616.631700000027195,245110.214199999987613
731,184,2,24,564618.523799999966286,245118.845000000001164
732,304,4,16,564631.121700000017881,245115.898199999995995
733,5,1,16,564635.080399999977089,245120.912500000005821
734,231,3,21,564643.609199999948032,245127.516700000007404
735,150,4,21,564637.343400000012480,245116.908499999990454
736,242,3,23,564628.627199999988079,245102.980299999995623
737,182,4,17,564623.611000000033528,245130.445399999996880
738,309,1,24,564716.900400000042282,244862.777200000011362
739,137,4,21,564713.905700000002980,244852.970399999991059
740,110,3,21,564721.710800000000745,244877.443800000008196
741,253,3,15,564698.437999999965541,244855.252999999996973
742,210,3,26,564690.343299999949522,244854.987800000002608
743,202,4,16,564658.921800000010990,244869.736100000009174
744,141,3,26,564657.433100000023842,244876.666700000001583
745,65,1,24,564662.122100000036880,244879.166100000002189
746,230,2,18,564657.207700000028126,244883.872700000007171
747,47,3,30,564660.348200000007637,244903.254300000000512
748,22,4,24,564633.149500000057742,244963.527600000001257
749,9,4,22,564691.668799999984913,244861.176700000010896
750,140,2,18,564614.826099999947473,244576.381900000007590
751,80,1,24,564596.173599999980070,244629.479200000001583
752,360,3,23,564596.740600000019185,244639.342700000008335
753,339,2,24,564597.553199999965727,244645.266600000002654
754,80,2,24,564597.513000000035390,244651.213099999993574
755,286,3,23,564597.907800000044517,244656.648199999995995
756,57,3,25,564598.100100000039674,244665.384699999995064
757,58,2,30,564598.737399999983609,244678.217600000003586
758,160,3,22,564615.766599999973550,244724.685999999986961
759,188,1,24,564623.735499999951571,244716.269200000009732
760,321,4,25,564552.509300000034273,244909.957099999999627
761,296,2,28,564755.778300000005402,245106.052399999985937
762,301,4,27,564793.237599999993108,245112.723800000007031
763,270,1,23,564766.214799999957904,245116.450899999996182
764,106,1,25,564613.499599999981001,244533.505800000013551
765,93,1,21,564582.639399999985471,244558.798299999994924
766,98,2,18,564581.028000000049360,244569.776899999997113
767,202,2,27,564583.686199999996461,244584.278400000010151
768,237,2,29,564614.810399999958463,244576.020199999999022
769,314,1,22,565784.419100000057369,244644.692399999999907
770,239,3,30,565784.037699999986216,244642.623599999991711
771,20,3,25,565757.973899999982677,244575.064299999998184
772,259,4,19,566013.915400000056252,244529.698700000008103
773,25,4,28,566015.826800000038929,244543.689099999988684
774,184,3,22,566015.601400000043213,244545.546800000010990
775,315,1,23,566019.395999999949709,244567.706700000009732
776,229,1,21,566023.548199999961071,244572.523599999985890
777,324,2,23,566027.590899999951944,244593.528400000010151
778,169,4,25,565410.175799999968149,244794.628999999986263
779,9,3,24,565411.134100000024773,244801.213799999997718
780,150,3,26,565894.780900000012480,244636.667400000005728
781,307,3,16,565899.043199999956414,244640.149600000004284
782,47,1,27,565904.377199999988079,244629.812500000000000
783,43,4,19,565905.012299999943934,244632.128900000010617
784,246,3,18,565905.819900000002235,244636.640299999999115
785,181,4,28,565906.442799999960698,244639.286300000007031
786,154,3,20,565879.521199999959208,244570.337100000004284
787,9,1,21,565626.149500000057742,244844.441699999995762
788,183,3,25,565625.656799999997020,244842.836000000010245
789,169,1,15,565627.023999999975786,244843.058400000008987
790,330,4,19,565600.855400000000373,244861.896600000007311
791,11,4,28,565598.845500000054017,244855.310999999986961
792,79,2,30,565597.140299999970011,244849.256800000002841
793,107,2,21,565593.380099999951199,244844.566499999986263
794,88,2,29,565588.160200000042096,244845.291300000011688
795,206,1,15,565603.542699999990873,244872.994700000010198
796,330,3,27,565610.180099999997765,244872.741000000009080
797,289,1,27,564449.670999999972992,244872.487699999997858
798,68,3,20,564452.813199999975041,244874.161699999996927
799,216,2,26,564454.526900000055321,244873.996799999993527
800,192,1,29,564458.891500000027008,244874.030599999998230
801,163,1,26,564457.222900000051595,244872.335699999995995
802,174,4,19,564509.121900000027381,244857.355199999990873
803,225,2,30,564511.509100000024773,244857.155499999993481
804,103,3,21,564511.910900000017136,244858.474599999986822
805,131,1,18,564511.254300000029616,244860.042900000000373
806,288,3,25,564512.095600000000559,244860.490200000000186
807,191,2,23,564737.991599999950267,245037.688900000008289
808,104,2,16,564769.122500000055879,245004.963099999993574
809,156,4,23,564443.734999999986030,245175.259400000009919
810,70,4,16,565347.087399999960326,244892.922099999996135
811,66,1,20,565346.278000000049360,244886.653900000004796
812,51,3,15,565355.094700000016019,244905.152999999991152
813,71,4,30,565353.425900000031106,244897.326499999995576
814,118,2,30,565382.499100000015460,244920.832800000003772
815,340,2,26,565389.583699999959208,244916.322600000014063
816,125,2,28,565398.488600000040606,244910.512799999996787
817,2,3,26,565394.824099999968894,244913.020099999994272
818,269,1,27,565411.737599999993108,244902.511999999987893
819,33,2,17,565407.597900000051595,244905.087399999989429
820,111,2,27,565433.479999999981374,244893.320999999996275
821,358,4,21,565349.564699999988079,244941.087800000008428
822,210,2,20,565342.989100000006147,244945.031400000007125
823,106,3,16,565336.313500000047497,244949.268699999985984
824,283,3,23,565328.151900000055321,244954.898199999995995
825,183,4,22,565982.690100000007078,244754.907700000010664
826,338,4,28,565988.052900000009686,244752.464799999987008
827,38,4,28,565992.752699999953620,244749.306199999991804
828,203,2,24,566001.170099999988452,244742.111499999999069
829,173,2,28,566044.302900000009686,244718.698000000003958
830,113,1,21,566061.502499999944121,244716.872700000007171
831,218,1,21,566067.536300000036135,244713.984200000006240
832,68,3,21,566072.735899999970570,244711.139699999999721
833,125,1,28,566079.621599999954924,244707.647700000001350
834,124,1,21,566086.052600000053644,244704.215200000006007
835,83,2,30,566091.767299999948591,244701.305300000007264
836,203,2,29,566100.674400000018068,244695.165199999988545
837,22,1,20,566107.040200000046752,244688.242800000007264
838,71,1,20,565595.072599999955855,244871.462300000013784
839,315,3,21,565683.366400000057183,244865.425099999993108
840,72,2,15,565685.966800000052899,244871.719899999996414
841,275,3,21,565708.356400000047870,244865.557100000005448
842,332,4,30,565710.739599999971688,244863.484300000010990
843,97,2,17,565705.021700000041164,244858.862300000007963
844,0,2,19,565705.601799999945797,244860.063200000004144
845,247,3,20,565706.130800000042655,244861.130499999999302
846,21,2,20,565792.129399999976158,244852.144200000009732
847,286,4,26,565412.082399999955669,244808.839399999997113
848,107,4,24,565412.984500000020489,244809.571300000010524
849,299,2,18,565412.798799999989569,244810.840800000005402
850,309,2,21,565412.123200000030920,244811.205900000000838
851,239,4,24,565338.549600000027567,244922.187100000010105
852,9,4,29,565373.525000000023283,244870.760899999993853
853,359,3,28,565488.216400000033900,244870.569400000007590
854,126,1,20,565487.077000000048429,244870.682900000014342
855,248,2,20,565483.753499999991618,244870.508899999986170
856,300,1,27,565484.757400000002235,244870.326200000010431
857,260,3,27,565480.125099999946542,244870.104099999996834
858,243,4,23,565481.485800000024028,244870.125700000004144
859,197,2,18,564863.537899999995716,245083.439500000007683
860,325,1,23,564869.966499999980442,245085.094699999986915
861,251,3,23,564875.694900000002235,245082.576299999986077
862,316,2,28,564884.921199999982491,245084.480199999990873
863,258,4,22,564881.555799999972805,245078.834899999987101
864,120,2,24,564884.875499999965541,245078.768199999991339
865,76,4,28,564889.105899999965914,245081.236800000013318
866,208,2,18,564895.536100000026636,245079.006099999998696
867,28,3,27,564901.490899999975227,245076.843499999988126
868,331,3,19,564899.007100000046194,245082.785499999998137
869,71,4,25,564897.535099999979138,245072.380299999989802
870,276,4,15,564900.195199999958277,245069.765199999994365
871,108,2,29,564904.648500000010245,245072.048500000004424
872,10,3,25,564909.566400000010617,245080.662899999995716
873,159,4,30,564890.892899999977089,245071.962599999998929
874,21,4,22,565757.673399999970570,244630.340100000001257
875,1,3,25,565761.015800000051968,244634.541599999996834
876,203,2,25,565763.165200000046752,244620.484399999986636
877,178,2,25,565692.205199999967590,244659.259099999995669
878,257,4,20,565689.067099999985658,244658.266299999988405
879,303,4,26,565686.448300000047311,244654.474199999996927
880,231,1,26,565684.381700000027195,244649.026600000011967
881,329,1,20,565687.159300000057556,244669.184899999992922
882,270,2,21,565688.750099999946542,244668.170400000002701
883,174,2,17,565702.716000000014901,244689.653800000000047
884,338,4,18,565702.761599999968894,244689.125999999989290
885,106,4,19,565961.533900000038557,244562.684700000012526
886,158,4,15,565351.031300000031479,244734.785399999993388
887,232,4,19,564835.420900000026450,244825.986499999999069
888,156,2,21,564829.012600000016391,244827.447500000009313
889,276,1,17,564820.793300000019372,244829.327199999999721
890,187,3,24,564813.902099999948405,244830.224900000001071
891,53,3,15,564806.051300000050105,244832.730400000000373
892,147,1,20,564799.152899999986403,244834.478800000011688
893,147,2,26,564792.633400000049733,244836.252799999987474
894,152,2,16,564793.947999999974854,244842.751400000008289
895,47,2,16,564810.685399999958463,244843.178500000009080
896,175,3,30,564776.640000000013970,244837.418299999990268
897,95,2,28,564770.403500000014901,244840.343099999998230
898,299,4,19,564765.269699999946170,244841.469400000001770
899,159,3,18,564759.180599999963306,244842.801600000006147
900,192,3,23,564768.361200000043027,244848.798799999989569
901,137,3,24,564777.896900000050664,244844.774299999990035
902,317,3,20,564776.142600000021048,244855.793399999995017
903,101,2,22,564778.316299999947660,244858.463900000002468
904,88,4,28,564797.220600000000559,244857.053899999998976
905,206,2,16,564798.308599999989383,244864.388600000005681
906,119,2,26,564817.456699999980628,244852.378599999996368
907,63,1,30,564819.718100000056438,244865.040500000002794
908,77,4,23,564815.716000000014901,244891.872899999987567
909,132,4,20,564773.998499999986961,244909.592800000013085
910,357,4,17,564779.111999999964610,244908.024499999999534
911,114,2,27,564797.179000000003725,244909.082099999999627
912,110,2,29,564806.339500000001863,244911.812899999989895
913,272,2,20,564814.239100000006147,244913.487099999998463
914,262,1,27,564808.629500000039116,244920.780900000012480
915,125,4,29,564821.307499999995343,244920.954499999992549
916,47,4,18,564821.391799999983050,244927.430200000002515
917,99,1,24,564819.867699999944307,244945.435700000001816
918,134,4,26,564833.255400000023656,244942.361899999988964
919,237,4,15,564809.605699999956414,244929.179700000007870
920,166,1,20,564793.321899999980815,244922.323100000008708
921,10,4,23,564794.500000000000000,244934.561500000010710
922,308,4,21,564796.760099999955855,244943.527499999996508
923,81,1,25,564788.150600000051782,244950.008200000011129
924,136,1,16,564788.463699999963865,244943.579300000012154
925,51,1,20,564806.747300000046380,244948.407299999991665
926,292,4,17,564787.413100000005215,244963.028800000000047
927,42,3,16,564794.397099999943748,244982.298799999989569
928,351,2,20,564803.798500000033528,244979.226800000004005
929,102,4,30,564810.846499999985099,244965.750100000004750
930,21,3,15,564821.445399999967776,244977.451700000005076
931,235,4,23,564827.536700000055134,244971.482300000003306
932,145,4,26,564834.936400000005960,244969.577400000009220
933,278,1,23,564844.793300000019372,244959.004300000000512
934,80,4,24,564838.091999999945983,244956.639599999994971
935,123,4,29,564827.896300000022165,244959.758299999986775
936,47,4,26,564818.247300000046380,244959.668700000009267
937,300,2,24,564829.784899999969639,244953.135100000014063
938,281,3,24,564818.709000000031665,245008.836299999995390
939,227,2,27,564847.539600000018254,245038.913499999995111
940,55,4,26,564848.981099999975413,245029.415700000012293
941,219,1,28,564852.341699999989942,245035.130800000013551
942,327,3,28,564853.606499999994412,245038.060499999992317
943,185,2,22,564857.303399999975227,245036.556899999995949
944,9,3,17,564862.710199999972247,245033.906699999992270
945,150,1,20,564806.304499999969266,245040.711099999985890
946,145,3,20,564816.711899999994785,245041.733100000012200
947,45,3,20,564807.433100000023842,245046.255700000008801
948,182,4,28,564817.114700000034645,245048.090100000001257
949,318,3,29,564827.737700000056066,245046.061900000000605
950,360,3,25,564844.758499999996275,245058.777200000011362
951,103,1,19,564837.581699999980628,245058.563900000008289
952,218,4,28,564851.499100000015460,245061.895699999993667
953,169,3,27,564845.796699999948032,245063.434299999993527
954,135,2,19,564839.371900000027381,245064.693900000012945
955,57,2,15,564833.977599999983795,245065.672400000010384
956,329,4,19,564832.972900000051595,245063.491399999998976
957,355,4,22,564829.515999999945052,245066.633600000001024
958,75,3,30,564838.093699999968521,245069.094699999986915
959,358,2,28,564844.385400000028312,245068.917900000000373
960,339,1,28,564849.735400000005029,245066.664400000008754
961,223,1,22,564854.840500000049360,245065.666499999992084
962,195,1,25,564824.862199999974109,244998.975100000010571
963,37,4,24,565307.509399999980815,244884.028599999990547
964,120,1,20,565308.188800000003539,244883.904199999989942
965,34,1,15,565310.172499999986030,244883.597199999989243
966,286,3,29,565324.497100000036880,244880.145900000003166
967,26,1,28,565430.508599999942817,244677.525200000003679
968,283,1,26,565454.549099999945611,244683.422300000005635
969,164,4,23,565445.903399999951944,244683.901199999992969
970,270,4,25,565444.005099999951199,244682.941900000005262
971,99,2,19,565444.876000000047497,244680.867300000012619
972,140,3,17,565443.542299999971874,244679.405300000013085
973,30,2,26,565442.396300000022165,244677.685499999992317
974,283,2,18,565442.162400000030175,244674.024000000004889
975,285,2,29,565446.812400000053458,244672.644800000009127
976,127,1,25,565452.057000000029802,244670.915100000012899
977,189,4,23,565457.673799999989569,244669.160399999993388
978,256,4,25,565463.399699999950826,244667.423000000009779
979,267,4,26,565465.186800000024959,244669.586700000014389
980,280,4,15,565461.794600000022911,244670.730199999990873
981,225,2,17,565455.755899999989197,244673.097399999998743
982,169,4,29,565474.824299999978393,244663.605999999999767
983,56,3,19,565480.421500000054948,244661.549499999993714
984,133,3,25,565485.500299999956042,244660.048899999994319
985,216,3,15,565490.804200000013225,244658.182999999989988
986,31,3,19,565496.064099999959581,244656.374199999991106
987,140,4,26,565501.531599999987520,244654.308900000003632
988,336,1,23,565506.518299999996088,244652.541800000006333
989,209,4,17,565511.435000000055879,244651.070399999996880
990,37,4,21,565755.769399999990128,244697.516499999997905
991,53,3,19,565809.276799999992363,244734.304800000012619
992,123,4,28,565810.594599999953061,244730.207200000004377
993,63,3,24,565813.875299999956042,244732.501500000013039
994,309,2,17,565822.513000000035390,244694.103100000007544
995,92,3,28,565824.420200000051409,244699.389699999999721
996,342,4,17,565828.262600000016391,244711.627299999992829
997,233,4,26,565832.332099999999627,244714.105000000010477
998,326,3,18,565835.518099999986589,244724.936300000001211
999,46,1,19,565815.546399999991991,244667.442700000014156
1000,41,3,25,565811.279399999999441,244653.183400000008987
1001,86,4,29,565808.268099999986589,244647.932499999995343
1002,327,4,22,565807.207700000028126,244644.646100000012666
1003,32,1,20,565806.014100000029430,244641.550900000002002
1004,269,2,20,565804.984999999986030,244638.096300000004703
1005,82,3,24,565803.972300000023097,244634.993300000001909
1006,97,2,29,565802.765000000013970,244631.506599999993341
1007,202,2,27,565801.576200000010431,244628.341699999989942
1008,234,2,15,565800.359399999957532,244625.144800000009127
1009,97,2,19,565799.312200000043958,244621.959399999992456
1010,319,1,18,565798.199200000031851,244618.709399999992456
1011,65,1,25,565796.840500000049360,244615.092299999989336
1012,168,3,20,565795.777800000039861,244612.136200000008103
1013,206,2,24,565794.585899999947287,244608.570500000001630
1014,91,1,20,565777.433199999970384,244624.410700000007637
1015,343,4,29,565778.880499999970198,244628.644700000004377
1016,25,1,24,565780.453199999989010,244633.097500000003492
1017,180,4,18,565782.161100000026636,244638.220399999991059
1018,111,4,21,565785.511700000031851,244647.650599999993574
1019,152,2,28,565787.108400000026450,244652.044900000008056
1020,57,1,28,565788.499900000053458,244656.214999999996508
1021,52,3,22,565790.020200000028126,244660.704300000012154
1022,104,2,28,565921.095100000035018,244630.378499999991618
1023,11,4,28,565920.059000000008382,244625.691499999986263
1024,342,1,18,565918.984900000039488,244620.971900000004098
1025,151,2,26,565917.844299999997020,244616.347899999993388
1026,327,3,22,565915.717999999993481,244607.180499999987660
1027,225,1,17,565916.942599999951199,244612.340999999985797
1028,245,3,19,565914.508299999986775,244602.541900000011083
1029,99,1,19,565913.562400000053458,244598.001199999998789
1030,65,3,19,565912.421800000010990,244593.377199999988079
1031,79,2,28,565911.385000000009313,244588.700199999992037
1032,303,4,23,565909.192200000048615,244579.478200000012293
1033,195,4,28,565908.242899999953806,244575.137599999987287
1034,81,2,20,565941.660099999979138,244614.287500000005821
1035,39,1,19,565937.879700000048615,244612.570399999996880
1036,309,2,28,565940.628999999957159,244609.821200000005774
1037,11,4,16,565936.642499999958090,244608.340599999995902
1038,111,4,21,565939.475899999961257,244605.086199999990640
1039,112,1,21,565934.426499999943189,244598.125499999994645
1040,30,3,18,565937.218600000021979,244595.038700000004610
1041,144,1,30,565933.396500000031665,244593.198600000003353
1042,175,2,19,565935.226000000024214,244585.670000000012806
1043,181,4,22,565946.038799999980256,244632.981300000014016
1044,332,3,24,565998.315399999963120,244665.740500000014435
1045,129,1,20,565997.551399999996647,244662.514100000000326
1046,46,4,24,565996.810599999967963,244659.239200000010896
1047,149,2,23,565996.065700000035577,244656.174300000013318
1048,300,4,29,565995.327500000013970,244653.159899999998743
1049,292,2,24,565994.506799999973737,244650.029799999989336
1050,242,1,18,565993.741299999994226,244646.973499999992782
1051,297,1,15,565979.070100000011735,244643.681000000011409
1052,50,1,25,565978.250099999946542,244642.473900000011781
1053,162,1,27,565978.613899999996647,244641.236499999999069
1054,315,2,27,565982.845800000010058,244667.011399999988498
1055,56,4,23,566080.866799999959767,244635.980000000010477
1056,121,1,29,566075.934000000008382,244634.125100000004750
1057,139,1,18,566076.515099999960512,244641.105099999986123
1058,323,2,18,566073.750200000009499,244638.885500000003958
1059,287,1,18,566071.012499999953434,244636.707900000008522
1060,276,4,17,566068.313300000037998,244634.552900000009686
1061,142,1,21,566065.519800000009127,244632.311400000005960
1062,200,4,25,566062.819299999973737,244630.176299999991897
1063,47,4,25,566060.081600000034086,244627.998699999996461
1064,180,2,27,566063.762600000016391,244623.759799999999814
1065,103,3,24,566111.508499999996275,244646.618699999991804
1066,359,2,21,566105.871999999973923,244651.637199999997392
1067,154,2,17,566099.408999999985099,244652.423500000004424
1068,62,3,26,566066.937999999965541,244644.555900000006659
1069,17,4,16,566064.378400000045076,244642.410299999988638
