OBJECTID,rotacja,sym,sym_w,X,Y
330,299,4,18,564964.530999999959022,245043.233799999987241
331,310,3,15,564960.942299999995157,245049.371799999993527
332,17,1,21,564967.259300000034273,245053.573499999998603
333,221,1,16,564976.805900000035763,245047.456500000000233
334,51,1,18,564980.512199999997392,245049.529100000014296
335,30,3,29,564971.783599999966100,245037.122399999992922
336,95,4,23,564974.613299999968149,245037.934100000013132
337,181,4,29,564983.166800000006333,245038.079999999987194
338,356,2,21,564985.680999999982305,245036.887300000002142
339,165,2,28,564977.785099999979138,245012.127399999997579
340,308,4,21,564974.382199999992736,245005.107400000008056
341,99,1,24,564964.530799999949522,245024.514599999994971
342,88,4,26,564926.995899999979883,245083.777800000010757
343,142,4,25,564938.559099999954924,245081.219000000011874
344,242,2,28,564956.139500000048429,245077.682600000000093
345,88,3,27,564964.488999999943189,245075.951899999985471
346,0,2,19,564961.538399999961257,245064.896100000012666
347,144,2,19,564976.729099999996834,245065.980099999986123
348,343,4,17,564970.131500000017695,245069.060900000011316
349,307,1,16,564977.721499999985099,245073.248200000001816
350,301,4,27,564986.329900000011548,245071.286499999987427
351,179,3,24,564996.139700000057928,245069.391800000012154
352,71,4,25,565003.604599999962375,245061.171399999991991
353,217,3,21,565009.805099999997765,245060.267300000006799
354,0,1,19,565005.280000000027940,245067.073299999989104
355,119,3,24,565099.289100000052713,245000.434500000003027
356,155,4,20,565015.437799999956042,244945.647999999986496
357,221,4,26,565012.521900000050664,244949.828199999989010
358,257,2,15,564987.870800000033341,244955.217600000003586
359,18,2,15,564985.693699999945238,244959.137199999997392
360,222,2,25,564974.982500000041910,244968.861399999994319
361,115,3,16,564990.134700000053272,244982.552499999990687
362,325,3,22,564942.828100000042468,244970.175500000012107
363,353,3,21,564946.313100000028498,244963.583699999988312
364,27,2,17,564965.214700000011362,244992.080199999996694
365,328,3,21,564964.403300000005402,244996.242100000003120
366,267,4,24,565875.459200000041164,244775.472999999998137
367,67,3,27,565663.107300000032410,244621.111399999994319
368,253,2,20,564585.772800000035204,245138.160899999988033
369,6,2,18,564578.123099999967963,245140.209200000012061
370,91,1,23,564569.890899999998510,245142.428699999989476
371,356,1,22,564568.456400000024587,245135.180800000001909
372,282,4,26,564570.221099999966100,245119.996000000013737
373,111,3,28,564553.690300000016578,245070.145900000003166
374,113,1,30,565333.203600000008009,244704.768899999995483
375,162,1,25,565334.489900000044145,244704.705400000006193
376,93,1,21,565323.543700000038370,244706.030700000002980
377,157,2,27,565346.562599999946542,244701.973599999997532
378,127,2,30,565350.702200000057928,244700.439799999992829
379,352,3,27,565307.461899999994785,244713.560100000002421
380,78,4,19,565298.761300000012852,244712.773400000005495
381,356,1,27,565364.323899999959394,244756.153300000005402
382,30,2,15,565363.071200000005774,244757.501099999994040
383,359,3,30,565361.635899999993853,244754.129199999995762
384,151,2,29,565361.665500000002794,244752.799100000003818
385,345,4,22,565360.332599999965169,244752.068300000013551
386,208,3,27,565362.376599999959581,244752.055800000001909
387,314,4,28,565363.695100000011735,244752.405100000003586
388,263,2,29,565357.551899999962188,244755.877100000012433
389,122,1,27,565358.220399999991059,244757.103999999992084
390,340,4,15,565355.269300000043586,244756.754799999995157
391,12,4,20,565357.034600000013597,244753.448499999998603
392,63,4,20,565354.829799999948591,244754.211299999995390
393,125,4,23,565354.385600000037812,244752.628900000010617
394,2,3,17,565354.430300000007264,244763.258499999996275
395,167,4,15,565365.292900000000373,244772.534000000014203
396,190,1,15,565361.783100000000559,244774.530900000012480
397,319,4,27,565352.959900000016205,244772.293600000004517
398,85,3,28,565365.035499999998137,244792.698000000003958
399,188,3,17,565362.706800000043586,244792.030300000013085
400,61,3,19,565362.093899999978021,244791.167699999990873
401,282,2,29,565360.473499999963678,244790.988299999997253
402,92,1,22,565360.004599999985658,244792.148599999985890
403,87,4,23,565367.149399999994785,244797.147200000006706
404,28,3,17,565364.278399999951944,244823.394900000013877
405,141,1,21,565366.286800000001676,244832.974900000001071
406,91,4,17,565364.935900000040419,244828.647300000011455
407,42,3,25,565367.285299999988638,244835.546100000006845
408,265,3,15,565351.684499999973923,244836.237300000007963
409,33,4,16,565350.568399999989197,244830.803699999989476
410,214,1,26,565359.126900000032037,244847.665899999992689
411,165,3,16,565354.636999999987893,244849.196100000001024
412,281,1,23,565370.694600000046194,244851.830900000000838
413,93,2,15,565382.057599999941885,244849.672300000005635
414,343,2,27,565354.631999999983236,244856.847700000012992
415,132,2,23,565225.275200000032783,244787.984800000005635
416,68,3,24,565227.717599999974482,244789.491500000003725
417,98,4,26,565224.212199999950826,244781.763500000000931
418,102,2,30,565224.395600000047125,244779.191900000005262
419,157,3,26,565221.340199999976903,244766.125900000013644
420,314,1,19,565216.659600000013597,244745.669099999999162
421,50,4,26,565287.134799999999814,244810.222600000008242
422,334,3,18,565291.994199999957345,244766.511599999997998
423,54,4,18,565281.238999999943189,244769.312100000010105
424,132,4,29,565270.637299999943934,244736.848100000002887
425,88,1,19,565255.032099999953061,244724.528699999995297
426,66,4,16,565256.887400000006892,244724.493500000011409
427,58,1,25,565291.930099999997765,244714.416200000006938
428,217,4,28,565847.893799999961630,244611.172200000000885
429,306,2,25,565840.149100000038743,244620.275099999998929
430,231,2,16,565843.466200000024401,244623.663599999999860
431,139,3,22,565843.858000000007451,244626.023699999990640
432,145,3,18,565846.312799999956042,244626.008800000010524
433,311,4,17,565847.361200000043027,244626.800599999987753
434,219,1,15,565849.541199999977835,244624.473700000002282
435,32,1,23,565850.060999999986961,244627.162899999995716
436,231,4,23,565851.093100000056438,244628.344199999992270
437,169,4,19,564991.940199999953620,244775.381599999993341
438,327,4,20,564998.022499999962747,244774.299200000008568
439,346,1,18,565003.468200000002980,244773.003700000001118
440,285,3,16,565014.762199999997392,244770.680200000002515
441,59,3,24,565021.153700000024401,244769.468400000012480
442,151,1,26,565026.163399999961257,244767.953199999989010
443,80,2,18,565031.326899999985471,244767.129500000010012
444,268,2,20,565038.443399999989197,244765.265500000008615
445,272,1,15,565044.019399999990128,244763.968800000002375
446,218,3,28,565049.827099999994971,244762.948000000003958
447,337,4,27,565058.175500000012107,244760.936799999995856
448,235,1,15,565070.170399999944493,244758.169699999998556
449,323,1,20,565076.223499999963678,244756.925199999997858
450,139,3,29,565080.932000000029802,244755.720200000010664
451,152,3,16,565214.048999999999069,244725.261599999997998
452,238,1,30,565007.581699999980628,244756.404700000013690
453,268,2,18,564996.707799999974668,244758.886700000002747
454,239,4,28,564924.842100000008941,244772.761700000002747
455,359,3,17,565943.266500000027008,244770.839299999992363
456,103,1,29,565949.592199999955483,244765.997499999997672
457,89,4,18,565953.535900000017136,244765.291800000006333
458,282,4,15,565939.452900000032969,244760.256200000003446
459,354,2,22,565941.664199999999255,244755.978299999987939
460,111,2,25,565936.541199999977835,244750.555099999997765
461,240,4,23,565974.649300000048243,244730.067899999994552
462,103,4,15,565980.192000000039116,244727.927599999995437
463,47,3,29,565984.224300000001676,244724.123099999997066
464,344,3,23,565990.163799999980256,244727.387900000001537
465,317,3,17,565992.537299999967217,244747.599099999992177
466,85,2,28,565989.867399999988265,244740.848900000011781
467,164,3,26,566002.143599999952130,244744.310499999992317
468,67,3,29,566007.292600000044331,244738.798399999999674
469,17,4,25,566013.577500000013970,244738.721300000004703
470,155,2,26,566008.113800000050105,244727.506099999998696
471,214,4,25,566017.939099999959581,244723.791599999996834
472,334,4,17,566011.034499999950640,244734.844099999987520
473,61,2,20,566042.067099999985658,244675.790700000012293
474,301,4,15,566049.761399999959394,244676.499600000010105
475,259,4,24,566050.101000000024214,244682.011100000003353
476,9,1,20,566049.310700000030920,244689.128999999986263
477,44,4,25,566050.228200000012293,244695.280300000013085
478,189,2,15,566055.072700000018813,244692.502000000007683
479,31,4,22,566059.154199999989942,244695.992100000003120
480,274,3,22,566054.391199999954551,244697.263500000000931
481,263,2,25,566064.778500000014901,244671.392300000006799
482,171,4,27,566062.186800000024959,244674.923399999999674
483,103,4,20,566069.436400000005960,244677.475299999990966
484,259,3,28,566062.605899999965914,244682.673700000013923
